
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        140 K
Registry                        96 Services                   0     13,548 K
smss.exe                       400 Services                   0      1,028 K
csrss.exe                      572 Services                   0      5,352 K
wininit.exe                    664 Services                   0      6,660 K
services.exe                   760 Services                   0     13,692 K
lsass.exe                      836 Services                   0     22,280 K
svchost.exe                    968 Services                   0      4,188 K
fontdrvhost.exe                996 Services                   0      2,612 K
svchost.exe                    352 Services                   0     33,904 K
svchost.exe                    656 Services                   0     17,248 K
svchost.exe                    876 Services                   0     10,268 K
svchost.exe                   1132 Services                   0     11,900 K
svchost.exe                   1140 Services                   0      6,788 K
svchost.exe                   1244 Services                   0      9,892 K
svchost.exe                   1276 Services                   0      7,876 K
svchost.exe                   1284 Services                   0     11,132 K
svchost.exe                   1300 Services                   0      9,988 K
svchost.exe                   1308 Services                   0      7,108 K
svchost.exe                   1396 Services                   0     11,808 K
svchost.exe                   1624 Services                   0     15,624 K
svchost.exe                   1632 Services                   0      7,992 K
svchost.exe                   1768 Services                   0      9,536 K
ibmpmsvc.exe                  1804 Services                   0      5,112 K
LPlatSvc.exe                  1824 Services                   0      7,464 K
svchost.exe                   1832 Services                   0     19,044 K
svchost.exe                   1960 Services                   0      8,064 K
svchost.exe                   1572 Services                   0      7,072 K
svchost.exe                   1108 Services                   0      6,632 K
svchost.exe                   2080 Services                   0      8,020 K
svchost.exe                   2088 Services                   0     19,076 K
svchost.exe                   2232 Services                   0     11,448 K
svchost.exe                   2348 Services                   0     85,768 K
svchost.exe                   2356 Services                   0      6,004 K
svchost.exe                   2368 Services                   0      8,088 K
svchost.exe                   2448 Services                   0      7,232 K
svchost.exe                   2464 Services                   0     13,548 K
dasHost.exe                   2544 Services                   0     11,396 K
Memory Compression            2628 Services                   0    113,868 K
svchost.exe                   2672 Services                   0      9,460 K
svchost.exe                   2716 Services                   0      9,520 K
svchost.exe                   2784 Services                   0      7,836 K
svchost.exe                   2808 Services                   0      7,780 K
svchost.exe                   2876 Services                   0     10,400 K
svchost.exe                   2920 Services                   0      9,884 K
igfxCUIService.exe            2952 Services                   0      9,056 K
svchost.exe                   2968 Services                   0     34,316 K
svchost.exe                   3008 Services                   0     10,084 K
svchost.exe                   3036 Services                   0      7,636 K
svchost.exe                   2184 Services                   0      7,852 K
svchost.exe                   3080 Services                   0     12,764 K
svchost.exe                   3328 Services                   0     12,988 K
svchost.exe                   3540 Services                   0      6,532 K
vpnagent.exe                  3548 Services                   0     13,476 K
svchost.exe                   3556 Services                   0     12,600 K
svchost.exe                   3776 Services                   0     14,508 K
svchost.exe                   3960 Services                   0     17,940 K
svchost.exe                   4092 Services                   0     13,360 K
svchost.exe                   3280 Services                   0      9,140 K
spoolsv.exe                   4144 Services                   0     16,832 K
ciscod.exe                    4384 Services                   0      7,876 K
armsvc.exe                    4392 Services                   0      6,208 K
svchost.exe                   4420 Services                   0     33,616 K
svchost.exe                   4428 Services                   0     43,444 K
OfficeClickToRun.exe          4436 Services                   0     42,476 K
FirmwareUpdaterService.ex     4472 Services                   0      9,028 K
edpa.exe                      4480 Services                   0     29,380 K
svchost.exe                   4492 Services                   0     13,088 K
micmute.exe                   4516 Services                   0      9,952 K
ibtsiva.exe                   4524 Services                   0      4,412 K
svchost.exe                   4544 Services                   0      7,552 K
IntelModemAuthenticator.e     4580 Services                   0     14,696 K
svchost.exe                   4616 Services                   0      6,608 K
SISIDSService.exe             4636 Services                   0     10,712 K
SISIPSService.exe             4644 Services                   0     10,164 K
sisipsutil.exe                4668 Services                   0      6,060 K
svchost.exe                   4720 Services                   0      7,808 K
SwiService.exe                4736 Services                   0     10,904 K
ccSvcHst.exe                  4752 Services                   0    107,960 K
SynTPEnhService.exe           4804 Services                   0      4,528 K
tphkload.exe                  4880 Services                   0     12,016 K
svchost.exe                   4888 Services                   0      6,072 K
wdp.exe                       4936 Services                   0      5,776 K
svchost.exe                   4972 Services                   0     21,404 K
svchost.exe                   5164 Services                   0     31,808 K
svchost.exe                   5264 Services                   0      5,676 K
